subject,true_answer,model,ans_clean,clean_correct,ans_T1.2-Backspace-Mid2,correct_T1.2-Backspace-Mid2,dsr_T1.2-Backspace-Mid2,changed_T1.2-Backspace-Mid2,halluc_T1.2-Backspace-Mid2,ans_T1.2-ZWSP-Mid2,correct_T1.2-ZWSP-Mid2,dsr_T1.2-ZWSP-Mid2,changed_T1.2-ZWSP-Mid2,halluc_T1.2-ZWSP-Mid2,ans_T1.2-Backspace-High5,correct_T1.2-Backspace-High5,dsr_T1.2-Backspace-High5,changed_T1.2-Backspace-High5,halluc_T1.2-Backspace-High5,ans_T1.2-Backspace-Start,correct_T1.2-Backspace-Start,dsr_T1.2-Backspace-Start,changed_T1.2-Backspace-Start,halluc_T1.2-Backspace-Start,ans_T4.4-Standard-End5,correct_T4.4-Standard-End5,dsr_T4.4-Standard-End5,changed_T4.4-Standard-End5,halluc_T4.4-Standard-End5,ans_T4.4-High-End10,correct_T4.4-High-End10,dsr_T4.4-High-End10,changed_T4.4-High-End10,halluc_T4.4-High-End10,ans_T4.4-Mixed-End,correct_T4.4-Mixed-End,dsr_T4.4-Mixed-End,changed_T4.4-Mixed-End,halluc_T4.4-Mixed-End,ans_T4.4-Standard-Mid5,correct_T4.4-Standard-Mid5,dsr_T4.4-Standard-Mid5,changed_T4.4-Standard-Mid5,halluc_T4.4-Standard-Mid5,honey_detected_T3.2-SetB-SHY-5,honey_detected_T3.2-SetA-ESC-5,honey_detected_T3.2-SetB-SHY-High10,honey_detected_T3.2-Homoglyph
astronomy,B,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
astronomy,A,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
astronomy,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,True,True
astronomy,A,Qwen/Qwen2.5-1.5B-Instruct,A,True,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,True,True,True,True
astronomy,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,B,False,True,True,False,C,False,True,True,False,D,True,False,False,False,C,False,True,True,False,C,False,True,True,False,D,True,False,False,False,C,False,True,True,False,True,True,True,True
business_ethics,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,C,False,True,True,False,D,True,False,False,False,C,False,True,True,False,C,False,True,True,False,C,False,True,True,False,C,False,True,True,False,D,True,False,False,False,C,False,True,True,False,True,True,True,True
business_ethics,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,True,True,True
business_ethics,B,Qwen/Qwen2.5-1.5B-Instruct,B,True,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,C,False,True,True,False,C,False,True,True,False,C,False,True,True,False,C,False,True,True,False,True,True,True,True
business_ethics,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,True,True
business_ethics,B,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
clinical_knowledge,D,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
clinical_knowledge,A,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
clinical_knowledge,D,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,C,False,False,True,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,C,False,False,True,False,B,False,False,False,False,False,True,True,True
clinical_knowledge,B,Qwen/Qwen2.5-1.5B-Instruct,B,True,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,True,True,True,True
clinical_knowledge,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,True,True
college_biology,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,True,True,True
college_biology,A,Qwen/Qwen2.5-1.5B-Instruct,A,True,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,D,False,True,True,False,D,False,True,True,False,A,True,False,False,False,True,True,True,True
college_biology,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,True,True
college_biology,D,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
college_biology,C,Qwen/Qwen2.5-1.5B-Instruct,A,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,True,True,True,True
college_chemistry,D,Qwen/Qwen2.5-1.5B-Instruct,B,False,D,True,False,True,False,B,False,False,False,False,D,True,False,True,False,B,False,False,False,False,B,False,False,False,False,D,True,False,True,False,D,True,False,True,False,B,False,False,False,False,True,True,True,True
college_chemistry,A,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,A,True,False,True,False,B,False,False,False,False,B,False,False,False,False,C,False,False,True,False,B,False,False,False,False,A,True,False,True,False,True,True,False,True
college_chemistry,D,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,False,True,True
college_chemistry,A,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
college_chemistry,D,Qwen/Qwen2.5-1.5B-Instruct,A,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,True,True,True,True
college_computer_science,A,Qwen/Qwen2.5-1.5B-Instruct,B,False,C,False,False,True,False,B,False,False,False,False,C,False,False,True,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
college_computer_science,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,False,True,True,True
college_computer_science,D,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
college_computer_science,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,D,False,True,True,False,D,False,True,True,False,D,False,True,True,False,C,True,False,False,False,True,True,True,True
college_computer_science,D,Qwen/Qwen2.5-1.5B-Instruct,B,False,C,False,False,True,False,C,False,False,True,False,C,False,False,True,False,C,False,False,True,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,C,False,False,True,False,True,True,True,True
college_mathematics,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,True,True,True
college_mathematics,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,True,True,True
college_mathematics,D,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,A,False,False,True,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
college_mathematics,A,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,False,True,True
college_mathematics,D,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
college_medicine,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,True,True
college_medicine,D,Qwen/Qwen2.5-1.5B-Instruct,B,False,A,False,False,True,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
college_medicine,B,Qwen/Qwen2.5-1.5B-Instruct,A,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,B,True,False,True,False,A,False,False,False,False,A,False,False,False,False,True,True,True,True
college_medicine,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,B,False,True,True,False,B,False,True,True,False,B,False,True,True,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,B,False,True,True,False,C,True,False,False,False,True,True,True,True
college_medicine,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,True,True
college_physics,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,A,False,True,True,False,D,True,False,False,False,True,True,True,True
college_physics,A,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,C,False,False,True,False,B,False,False,False,False,C,False,False,True,False,B,False,False,False,False,True,False,True,True
college_physics,D,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,B,False,False,True,False,C,False,False,False,False,True,True,True,True
college_physics,D,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
college_physics,C,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
computer_security,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,True,True,True
computer_security,B,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,D,False,False,True,False,B,True,False,True,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,B,True,False,True,False,True,True,True,True
computer_security,A,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
computer_security,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,False,True,True,True
computer_security,A,Qwen/Qwen2.5-1.5B-Instruct,D,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,B,False,False,True,False,B,False,False,True,False,B,False,False,True,False,D,False,False,False,False,True,True,True,True
conceptual_physics,C,Qwen/Qwen2.5-1.5B-Instruct,A,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,False,True,True,True
conceptual_physics,B,Qwen/Qwen2.5-1.5B-Instruct,B,True,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,True,True,True,True
conceptual_physics,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,False,True
conceptual_physics,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,B,False,True,True,False,True,True,True,True
conceptual_physics,A,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
econometrics,D,Qwen/Qwen2.5-1.5B-Instruct,A,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,True,True,True,True
econometrics,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,True,True,True
econometrics,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,True,True,True
econometrics,C,Qwen/Qwen2.5-1.5B-Instruct,B,False,A,False,False,True,False,A,False,False,True,False,A,False,False,True,False,A,False,False,True,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,A,False,False,True,False,True,True,True,True
econometrics,B,Qwen/Qwen2.5-1.5B-Instruct,B,True,A,False,True,True,False,A,False,True,True,False,A,False,True,True,False,A,False,True,True,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,A,False,True,True,False,True,True,True,True
electrical_engineering,A,Qwen/Qwen2.5-1.5B-Instruct,C,False,A,True,False,True,False,C,False,False,False,False,C,False,False,False,False,A,True,False,True,False,D,False,False,True,False,D,False,False,True,False,D,False,False,True,False,D,False,False,True,False,True,True,True,True
electrical_engineering,C,Qwen/Qwen2.5-1.5B-Instruct,A,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,C,True,False,True,False,C,True,False,True,False,C,True,False,True,False,A,False,False,False,False,True,True,True,True
electrical_engineering,A,Qwen/Qwen2.5-1.5B-Instruct,A,True,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,True,True,True,True
electrical_engineering,A,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,A,True,False,True,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
electrical_engineering,A,Qwen/Qwen2.5-1.5B-Instruct,C,False,B,False,False,True,False,C,False,False,False,False,C,False,False,False,False,B,False,False,True,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,False,True,True
elementary_mathematics,A,Qwen/Qwen2.5-1.5B-Instruct,A,True,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,True,True,True,True
elementary_mathematics,A,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
elementary_mathematics,B,Qwen/Qwen2.5-1.5B-Instruct,B,True,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,True,True,True,True
elementary_mathematics,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,False,True,True,True
elementary_mathematics,A,Qwen/Qwen2.5-1.5B-Instruct,A,True,A,True,False,False,False,A,True,False,False,False,B,False,True,True,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,True,True,True,True
formal_logic,A,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
formal_logic,B,Qwen/Qwen2.5-1.5B-Instruct,B,True,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,True,False,True,True
formal_logic,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,False,True,True
formal_logic,A,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
formal_logic,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,True,True,True
global_facts,B,Qwen/Qwen2.5-1.5B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,D,False,False,True,False,D,False,False,True,False,D,False,False,True,False,C,False,False,False,False,True,True,True,True
global_facts,D,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
global_facts,B,Qwen/Qwen2.5-1.5B-Instruct,B,True,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,True,True,True,True
global_facts,C,Qwen/Qwen2.5-1.5B-Instruct,D,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,True,True,True,True
global_facts,C,Qwen/Qwen2.5-1.5B-Instruct,D,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,D,False,False,False,False,False,True,True,True
high_school_biology,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,True,True
high_school_biology,C,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
high_school_biology,B,Qwen/Qwen2.5-1.5B-Instruct,B,True,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,True,True,True,True
high_school_biology,D,Qwen/Qwen2.5-1.5B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,A,False,True,True,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,A,False,True,True,False,True,True,True,True
high_school_biology,C,Qwen/Qwen2.5-1.5B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
high_school_chemistry,C,Qwen/Qwen2.5-1.5B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,B,False,True,True,False,C,True,False,False,False,True,True,True,True
high_school_chemistry,A,Qwen/Qwen2.5-1.5B-Instruct,A,True,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,True,True,False,True
high_school_chemistry,D,Qwen/Qwen2.5-1.5B-Instruct,A,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,True,True,True,True
high_school_chemistry,B,Qwen/Qwen2.5-1.5B-Instruct,B,True,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,True,True,True,True
high_school_chemistry,B,Qwen/Qwen2.5-1.5B-Instruct,B,True,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,True,True,True,True
