model,subject,true_answer,ans_clean,clean_correct,best_cloak,dsr_cloak_only,best_trap,dsr_trap_only,ans_stacked,dsr_stacked,changed_stacked
Llama-1B,college_medicine,B,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,college_medicine,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_medicine,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_physics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_physics,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_physics,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,college_physics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_physics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,computer_security,C,C,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,C,False,False
Llama-1B,computer_security,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,computer_security,A,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,computer_security,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,computer_security,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,conceptual_physics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,conceptual_physics,B,B,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,conceptual_physics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,conceptual_physics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,conceptual_physics,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,econometrics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,econometrics,C,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,econometrics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,econometrics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,econometrics,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,electrical_engineering,A,C,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,electrical_engineering,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,electrical_engineering,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,electrical_engineering,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,electrical_engineering,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,elementary_mathematics,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,elementary_mathematics,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,elementary_mathematics,B,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,elementary_mathematics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,elementary_mathematics,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,formal_logic,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,formal_logic,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,formal_logic,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,formal_logic,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,formal_logic,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,global_facts,B,B,True,T1.2-Backspace-Mid2,True,T4.4-Mixed-End,True,A,True,True
Llama-1B,global_facts,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,global_facts,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,global_facts,C,C,True,T1.2-Backspace-Mid2,True,T4.4-Mixed-End,True,A,True,True
Llama-1B,global_facts,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_biology,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_biology,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_biology,B,C,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,high_school_biology,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_biology,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_chemistry,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_chemistry,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_chemistry,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_chemistry,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_chemistry,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_computer_science,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_computer_science,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_computer_science,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_computer_science,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_computer_science,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_european_history,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,high_school_european_history,C,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,high_school_european_history,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,D,False,False
Llama-1B,high_school_european_history,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_european_history,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_geography,C,C,True,T1.2-Backspace-Mid2,True,T4.4-Mixed-End,False,A,True,True
Llama-1B,high_school_geography,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_geography,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_geography,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_geography,B,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,high_school_government_and_politics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_government_and_politics,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_government_and_politics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_government_and_politics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_government_and_politics,D,D,True,T1.2-Backspace-Mid2,True,T4.4-Mixed-End,True,A,True,True
Llama-1B,high_school_macroeconomics,A,C,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,high_school_macroeconomics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_macroeconomics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_macroeconomics,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_macroeconomics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_mathematics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_mathematics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_mathematics,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_mathematics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_mathematics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_microeconomics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_microeconomics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_microeconomics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_microeconomics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_microeconomics,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,high_school_physics,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_physics,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_physics,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_physics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_physics,A,C,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,high_school_psychology,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,D,True,True
Llama-1B,high_school_psychology,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_psychology,C,C,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,C,False,False
Llama-1B,high_school_psychology,C,B,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,high_school_psychology,C,C,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,C,False,False
Llama-1B,high_school_statistics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_statistics,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_statistics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_statistics,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_statistics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_us_history,C,C,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,C,False,False
Llama-1B,high_school_us_history,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_us_history,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_us_history,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,high_school_us_history,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_world_history,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_world_history,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,high_school_world_history,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_world_history,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,high_school_world_history,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,human_aging,C,C,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,True,True
Llama-1B,human_aging,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,human_aging,C,C,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,human_aging,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,human_aging,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,human_sexuality,C,C,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,True,True
Llama-1B,human_sexuality,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,human_sexuality,C,C,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,human_sexuality,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,human_sexuality,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,international_law,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,international_law,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,international_law,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,international_law,B,B,True,T1.2-Backspace-Mid2,True,T4.4-Mixed-End,True,A,True,True
Llama-1B,international_law,C,C,True,T1.2-Backspace-Mid2,True,T4.4-Mixed-End,True,A,True,True
Llama-1B,jurisprudence,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,jurisprudence,B,B,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,jurisprudence,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,jurisprudence,B,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,D,False,False
Llama-1B,jurisprudence,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,logical_fallacies,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,logical_fallacies,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,logical_fallacies,B,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,logical_fallacies,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,logical_fallacies,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,machine_learning,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,machine_learning,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,machine_learning,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,machine_learning,A,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,machine_learning,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,management,A,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,management,B,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,D,False,False
Llama-1B,management,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,management,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,management,C,C,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,C,False,False
Llama-1B,marketing,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,marketing,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,marketing,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,marketing,A,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,marketing,C,C,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,C,False,False
Llama-1B,medical_genetics,A,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,medical_genetics,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,medical_genetics,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,medical_genetics,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,medical_genetics,C,C,True,T1.2-Backspace-Mid2,True,T4.4-Mixed-End,True,A,True,True
Llama-1B,miscellaneous,B,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,miscellaneous,C,C,True,T1.2-Backspace-Mid2,True,T4.4-Mixed-End,True,A,True,True
Llama-1B,miscellaneous,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,miscellaneous,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,miscellaneous,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,moral_disputes,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,moral_disputes,A,C,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,moral_disputes,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,moral_disputes,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,moral_disputes,C,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,moral_scenarios,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,moral_scenarios,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,moral_scenarios,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,moral_scenarios,B,B,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,moral_scenarios,C,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,nutrition,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,nutrition,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,nutrition,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,nutrition,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,nutrition,D,D,True,T1.2-Backspace-Mid2,True,T4.4-Mixed-End,False,A,True,True
Llama-1B,philosophy,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,philosophy,B,B,True,T1.2-Backspace-Mid2,True,T4.4-Mixed-End,False,A,True,True
Llama-1B,philosophy,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,philosophy,B,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,philosophy,B,B,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,B,False,False
Llama-1B,prehistory,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,prehistory,D,C,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,prehistory,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,prehistory,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,prehistory,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,professional_accounting,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,professional_accounting,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,professional_accounting,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,professional_accounting,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,True,True
Llama-1B,professional_accounting,A,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,professional_law,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,professional_law,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,professional_law,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
